@relation all.2023-03-07_02:00:09.431357


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute TERM0 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute NUM0 NUMERIC
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute IMP0 {Implies}
@attribute TERM2 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute LOGICALS1 {And, Or}
@attribute TERM3 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute NUM3 NUMERIC
@attribute VEREDICT {TRUE, FALSE}

@data
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,306.981161,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-112.233247,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,792.037293,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-432.840380,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,581.365532,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1064.680328,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,638.785963,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-187.691809,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,398.836157,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-988.378140,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,167.610393,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-452.297850,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,700.466300,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-268.334784,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,289.233114,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-722.487375,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,738.373364,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-224.733721,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,677.162412,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1046.175739,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,54.302843,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-399.918741,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,541.127335,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-890.446274,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,634.347561,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-870.821432,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,378.554397,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-449.091927,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,880.134231,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1010.442219,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,744.760628,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-50.237947,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,477.798977,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-557.230934,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,634.708209,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-266.611276,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,558.689201,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-300.482738,TRUE
