@relation all.2023-03-07_07:15:50.558984


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute TERM0 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute NUM0 NUMERIC
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute IMP0 {Implies}
@attribute TERM2 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute LOGICALS1 {And, Or}
@attribute TERM3 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute NUM3 NUMERIC
@attribute VEREDICT {TRUE, FALSE}

@data
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,437.781956,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-207.098878,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,137.950900,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1020.463681,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,146.616507,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-487.763581,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,504.960183,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-417.709615,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,295.563525,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-517.485248,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,957.193148,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-708.823317,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,919.447936,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-317.242821,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,18.855869,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-217.892590,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,188.847570,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-166.092114,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,276.731412,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-319.655356,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,204.138028,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1014.452501,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,861.629231,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1026.428723,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,1005.031387,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-938.463183,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,31.324589,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-466.872050,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,468.945811,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-765.825711,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,1037.716243,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-696.980323,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,523.557124,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-264.628541,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,659.141696,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1028.120138,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,1057.008741,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-668.280050,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,902.201033,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-76.617573,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,915.974216,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-99.999128,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,534.455278,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1033.118481,TRUE
